"SED_name","SED_state","dwellings","capacity","density","instals_Residential","instals_Commercial","instals_Power_Station","capacity_Residential","capacity_Commercial","capacity_Power_Station"
"Rowville (South-Eastern Metropolitan)","VIC","20233","47173","35.3","7135","216","9","34043","7975","5155"
"Ryde","NSW","22327","39661","23.6","5271","274","6","29488","8735","1438"
"Sanderson","NT","2900","7099","35.6","1032","23","0","6002","1097","0"
"Sandgate","QLD","21187","56849","51.6","10941","170","3","50836","4389","1624"
"Sandringham (Southern Metropolitan)","VIC","24293","32548","20.1","4885","201","2","26698","5398","452"
"Scarborough (North Metropolitan)","WA","19334","33657","33.4","6459","79","3","31063","2171","423"
"Scenic Rim","QLD","24334","94431","58.4","14205","850","1","74435","19801","195"
"Schubert","SA","16111","80984","62.2","10027","681","17","53089","18147","9748"
"Seven Hills","NSW","27556","63613","32.6","8974","366","12","49197","10637","3779"
"Shellharbour","NSW","34629","81056","36.7","12725","286","6","70684","7772","2600"
"Shepparton (Northern Victoria)","VIC","32348","362810","38.0","12300","870","36","61201","27102","274507"
"South Barwon (Western Victoria)","VIC","42408","78468","27.3","11562","325","6","59980","9037","9451"
"South Brisbane","QLD","7784","26298","41.9","3259","288","4","16471","8854","973"
"South Coast","NSW","44475","96548","35.0","15553","464","1","83838","12206","504"
"South Perth (South Metropolitan)","WA","17298","30219","32.0","5536","93","1","27485","2541","193"
"South-West Coast (Western Victoria)","VIC","31194","49504","23.2","7230","395","3","35582","13223","699"
"Southern Downs","QLD","24501","156351","42.6","10442","809","8","52579","21976","81796"
"Southern River (South Metropolitan)","WA","17872","53940","60.6","10823","138","2","48679","4845","416"
"Southport","QLD","16988","54921","45.3","7687","491","6","39552","13749","1620"
"Spillett","NT","4386","24807","38.6","1694","99","6","10458","4389","9960"
"Springwood","QLD","20773","76916","58.3","12114","410","4","61609","9594","5713"
"St Albans (Western Metropolitan)","VIC","27212","37616","23.7","6458","181","3","28952","7069","1595"
"Stafford","QLD","18074","47467","40.3","7281","295","6","38367","7349","1751"
"Strathfield","NSW","18511","38336","21.4","3961","325","8","22864","9452","6020"
"Stretton","QLD","20493","65137","58.7","12036","287","4","56028","6665","2444"
"Stuart (NT)","NT","2448","3785","4.9","121","42","6","718","1483","1584"
"Stuart (SA)","SA","18085","340162","48.7","8803","532","18","42788","14498","282876"
"Summer Hill","NSW","16312","26820","21.3","3473","225","3","18524","7312","984"
"Sunbury (Western Metropolitan)","VIC","27099","67466","29.3","7931","376","4","41023","11923","14520"
"Surfers Paradise","QLD","10443","36063","47.9","5002","375","0","27695","8368","0"
"Swan Hills (East Metropolitan)","WA","23670","85067","64.1","15167","193","4","75940","4528","4599"
"Swansea","NSW","33114","79746","38.3","12694","354","1","70837","8621","288"
"Sydenham (Western Metropolitan)","VIC","25209","54893","36.3","9147","136","5","47599","3781","3513"
"Sydney","NSW","9980","10915","6.2","621","145","9","3022","5056","2837"
"Tamworth","NSW","36367","251672","35.5","12924","798","14","70909","21635","159128"
"Tarneit (Western Metropolitan)","VIC","52567","161533","41.2","21663","653","28","120201","31589","9743"
"Taylor","SA","19259","93502","57.8","11124","813","12","62185","23738","7579"
"Terrigal","NSW","30930","66729","32.2","9963","379","3","57150","8863","716"
"The Entrance","NSW","29926","66081","31.0","9277","385","4","52596","10825","2660"
"Theodore","QLD","25664","99772","53.8","13801","782","3","80285","16209","3278"
"Thomastown (Northern Metropolitan)","VIC","31022","62152","26.7","8270","408","8","43720","13586","4846"
"Thornlie (East Metropolitan)","WA","19396","50288","54.5","10568","165","0","45203","5085","0"
"Thuringowa","QLD","20641","225376","60.4","12462","328","6","66459","7437","151480"
"Toohey","QLD","20527","71680","51.6","10597","618","8","49863","18421","3396"
"Toowoomba North","QLD","23166","57877","37.2","8628","421","5","43837","11930","2110"
"Toowoomba South","QLD","24765","54860","32.5","8051","380","6","39877","12004","2979"
"Torrens","SA","16151","50052","50.9","8228","307","2","41595","7937","520"
"Townsville","QLD","20761","66546","40.5","8415","539","16","45993","15545","5008"
